星衛娛樂台,p2p://23.237.2.218:10028/527bee220003b60c0c04c11d07940adf
衛視西片台,p2p://23.237.2.218:10028/5391e4d300061d5c1babe1f9175a4f55
東森電影台,p2p://23.237.2.218:10028/5391e175000baa021b9ebc3126203d34
東森戲劇台,p2p://23.237.2.218:10028/5391e1450003133d1b9dfe7e63532936
東森洋片,p2p://23.237.2.218:10028/5391e2060000bfb01ba0efce76f4100e
Syfy,p2p://23.237.2.218:10028/5391eec20000fd1e1bd2ae3e30281b58
龍華電影台,p2p://23.237.2.218:10028/5391eab00003c9681bc2c8a02e9e4372
龍華洋片,p2p://23.237.2.218:10028/5391e7f5000d744d1bb820ae1c621e43
龍祥電影台,p2p://23.237.2.218:10028/532794bc0004bfb07c6307ca75b96f7d
AXN,p2p://23.237.2.218:10028/527bee31000502f60c04fc0a7d043e7e
TVN,p2p://23.237.2.218:10028/5391e33e000953951ba5b4c27ecf3f9e
環球影視,p2p://23.237.2.218:10028/5391e75c000a0b601bb5ca263c9e445b
靖天映畫,p2p://23.237.2.218:10028/53ccb10300079110c91d56a82bd62f46
靖洋戲劇,p2p://23.237.2.218:10028/53ccb13f00039b11c91e3ffd517e2e45
卡通頻道,p2p://23.237.2.218:10028/5327952f00022eaa7c64c85b2db3785a
Animax,p2p://23.237.2.218:10028/524a9eff000d87064b67a2df03a51401
Disney,p2p://23.237.2.218:10028/5391e2d700028e0f1ba420ae176e4502
DIVA,p2p://23.237.2.218:10028/5391ebec000707b31bc79bd60ee00d47
Babytv,p2p://23.237.2.218:10028/5391ea390008d4c71bc0f922204b1785
FOX,p2p://23.237.2.218:10028/525f0b51000d79359b2ec32e23990764
FOX動作,p2p://23.237.2.218:10028/52af8e55000300b4c90682d62ad25aea
FOX犯罪,p2p://23.237.2.218:10028/5391e919000df34e1bbc9570154865bd
FOX家庭,p2p://23.237.2.218:10028/5391e8510005bc5e1bb986151bce69e0
FX,p2p://23.237.2.218:10028/525da35e0003db4d95b0b3883a05756d
HBO,p2p://23.237.2.218:10028/524a88de000d24c84b1131e378991174
HBO家庭,p2p://23.237.2.218:10028/524a820a000143194af682bf28393585
HBO强檔,p2p://23.237.2.218:10028/5391ee4a000c022c1bd0dc4f65745666
HBO原創,p2p://23.237.2.218:10028/5391ee12000afe6a1bd0014c6d461335
CHC電影台,p2p://23.237.2.218:10028/52fa9d900001bdae054ed21900b80c80
Cinmax,p2p://23.237.2.218:10028/532794d9000d53347c637b44380d6a33
高清電影台,p2p://23.237.2.218:10028/525da39c000e022b95b1a85204ef4eb5
歡喜台,p2p://23.237.2.218:10028/53cab194000e7be1c14f990b2cd93ae7
全佳台,p2p://119.81.135.30:9906/53ccbd2000052f71c94ca381346f4536
華麗台,p2p://23.237.2.218:10028/53cd76cc00068a06cc21e84c0f0468f1
最新劇集,p2p://23.237.2.218:10028/53c9ae1b000d64ecbd5a0f2f4c801ee0
AEC,p2p://23.237.2.218:10028/53c9ada700018eedbd5847011f8c7178
華麗台,p2p://23.237.2.218:10028/53ca2467000d6ff3bf28247d3ccf4395
TVB娛樂新聞台,p2p://23.237.2.218:10028/53cd5820000cda29cbaa19f442f10348
雙星台,p2p://23.237.2.218:10028/53ccbf0e0005d86bc9542d5804481caa
Trace Urban,p2p://23.237.2.218:10028/53cd526200048cbbcb93a9a437513910
俄羅斯RTR,p2p://23.237.2.218:10028/53ca1c340006e3dabf081b977a8974b1
衛視卡式台,p2p://119.81.135.30:9906/54de233e000f1e150dc96d0e352d7afe
BBC娛樂台,p2p://23.237.2.218:10028/5439c86f000e77454712455e5f3176e7
BBC知識,p2p://23.237.2.218:10028/53c9b14d00005bf6bd66872c0b73564d
BBC生活,p2p://23.237.2.218:10028/53c9b1bc0000c2e4bd6838de30821271
CBS娛樂台,p2p://23.237.2.218:10028/53cd59920001ca9acbafbc6a655e20be
CBS極限,p2p://23.237.2.218:10028/53c9b4ac00013ff2bd73b27002a82c17
生活時尚,p2p://23.237.2.218:10028/53ccb2bd00078671c92415363f083b8a
E!,p2p://23.237.2.218:10028/524a835b000478294afba7fb3fe123a9
HKTV,p2p://50.7.100.114:9906/5472f8ad000b575f0f74c7e0559c624b
東森幼幼,p2p://23.237.2.218:10028/5391e1a5000e10671b9f784e23e03b84
momo親子,p2p://23.237.2.218:10028/5390feb0000a9ef61828ea6f57574db2
Nichlo,p2p://23.237.2.218:10028/5391e9d1000ae4311bbf63684c317da4
Channel V,p2p://23.237.2.218:10028/5391ec8c00085d6c1bca0d2e51cc2a2c
RHK31,p2p://116.255.188.39:48009/546451a20003457847db3812385035fc
NHK,p2p://23.237.2.218:10028/53279514000d8d6c7c6461cc279a2d5f
NHK 総合,p2p://23.237.2.218:10028/53ccbcab000c9361c94adc5b143100b2
NHK Eテレ,p2p://23.237.2.218:10028/53ccbcda00091394c94b930d461e3a24
河南衛視,p2p://23.237.2.218:10028/53ca23fd00060910bf2684871edc7532
上海ICS,p2p://23.237.2.218:10028/53ccb03b000d157dc91a4ac60cf711fe
央視7套,p2p://23.237.2.218:10028/53c9bf20000c870fbd9c8a77301f3f3b
重慶衛視,p2p://23.237.2.218:10028/53c9c0ed00061026bda3919961b521c9
上海星尚,p2p://23.237.2.218:10028/53cd5add0001f167cbb4c974159d1364
安徽衛視,p2p://23.237.2.218:10028/53c9adcc00077b17bd58d9122b1a0439
遼寧衛視,p2p://23.237.2.218:10028/53ccb2ef000ac5f9c924d94f578e75c1
生活時尚,p2p://23.237.2.218:10028/53ccbeed0002b808c953ab9c327269fd
湖南衛視,p2p://23.237.2.218:10028/5249f1a300037b5848c270f9128900a6
深圳衛視,p2p://119.81.135.30:9906/5249f1790002d6fe48c1ccbe36a05add
廣東衛視,p2p://23.237.2.218:10028/5249f1cf000637a548c31d8c239827ce
上海電視劇,p2p://23.237.2.218:10028/53ca1af90008d001bf034d9e5ecb2726
新視覺體育,p2p://23.237.2.218:10028/526091a5000232e7a123786834e022c8
勁爆體育,p2p://23.237.2.218:10028/53c9bef20002ef54bd9bd45347ed22f7
東方衛視,p2p://23.237.2.218:10028/5249f1b4000904a648c2b4cb2dd90485
浙江衛視,p2p://23.237.2.218:10028/5249f18e0000a95248c21e3828b24231
東方娛樂台,p2p://23.237.2.218:10028/53c9c1a900095afcbda670d02962251d
黑龍江衛視,p2p://23.237.2.218:10028/53ca242c0005a247bf273c020e9d0521
CCTV5+,p2p://23.237.2.218:10028/53c9c02d000289d3bda0a2b84d9a65fe
CCTV8,p2p://23.237.2.218:10028/52827584000708e318dd937a179226f4
CCTV6,p2p://23.237.2.218:10028/52825ebe00084b6318849e512fb32bca
Dox,p2p://23.237.2.218:10028/53cd7486000803d3cc1907411d97148d
全紀實,p2p://23.237.2.218:10028/53cd74500008690bcc18346827eb5219
歡笑劇場,p2p://23.237.2.218:10028/53cd73fc000c2eb5cc16ed3b72ed191a
北京衛視,p2p://23.237.2.218:10028/5249f21400003ffe48c4298d5fde13f6
江蘇衛視,p2p://23.237.2.218:10028/53ccb0c00006c2adc91c50af331f44b5
上海紀實,p2p://23.237.2.218:10028/53ccbecd0002fb1bc9532eaf3d8f7f90
河北衛視,p2p://119.81.135.30:9906/53ca2379000bac50bf2482551e9d7f75
Momo,p2p://23.237.2.218:10028/5390feb0000a9ef61828ea6f57574db2
上海電視劇,p2p://23.237.2.218:10028/53ca1af90008d001bf034d9e5ecb2726
新視覺體育,p2p://23.237.2.218:10028/526091a5000232e7a123786834e022c8
